"idsociete";"nomsociete";"villeSociete";"codePostalSociete";"regionSociete";"paysSociete";"minEffectif";"maxEffectif"
1;"Devoteam";"";"";"";"";1001;5000
2;"Freelance-info.fr";"lyon";"";"";"fr";"";""
3;"Groupe PSIH";"lyon";"";"";"fr";"";""
4;"CELAD";"lyon";"";"";"fr";"";""
5;"Atos";"";"";"";"";10000;""
6;"Sopra Steria";"lyon";"";"";"fr";10000;""
7;"INTITEK";"lyon";"";"";"fr";"";""
8;"Atos Consulting";"";"";"";"";1001;5000
9;"Adthink";"lyon";"";"";"fr";"";""
10;"Atos-Syntel";"";"";"";"";10000;""
11;"Groupe SII";"lyon";"";"";"fr";1001;5000
12;"Atos Medical";"";"";"";"";51;200
13;"Feu Vert";"ecully";"";"";"fr";1001;5000
14;"Capgemini";"lyon area";"";"";"france";10000;""
15;"Alptis";"lyon";"";"";"fr";"";""
16;"Université de Bordeaux";"gradignan";"";"";"fr";"";""
17;"Dassault Systemes";"";"";"";"";10000;""
18;"ADERLY / Invest in Lyon";"lyon";"";"";"fr";"";""
19;"SolidWorks";"";"";"";"";501;1000
20;"Roamler";"lyon";"";"";"fr";"";""
21;"MycommunIT";"saint maurice sur dargoire";"";"";"fr";"";""
22;"Harnham";"lille";"";"";"fr";"";""
23;"2S2I Solutions & Services";"";"";"";"";51;200
24;"EOLE Consulting";"lyon";"";"";"fr";"";""
25;"CEGID";"";"";"";"";1001;5000
26;"Axway";"lyon";"";"auvergne rhone alpes";"france";"";""
27;"Bayer";"";"";"";"";10000;""
28;"Soladis";"lyon";"";"";"fr";"";""
29;"BIAL-R";"lyon";"";"";"fr";"";""
30;"Statkraft";"lyon";"";"";"fr";"";""
31;"HAVANA IT & APPS";"lyon";"";"";"fr";"";""
32;"SELESCOPE";"lyon";"";"";"fr";"";""
33;"Fédération hospitalière de France (FHF)";"lyon";"";"";"fr";"";""
34;"Abaka";"";"";"";"";1;50
35;"Plastic Omnium";"sainte julie";"";"";"fr";1946;1946
36;"Expertime";"";"";"";"";51;200
37;"Carriere-info.fr";"lyon";"";"";"fr";"";""
