cle_unique;colonne;valeur
0;nomEntreprise;Devoteam
0;noteMoyEntreprise;4.1
0;avis1_lib;« Salaire »
0;avis1_commentaire;J'ai travaillé chez Devoteam à temps plein
0;avis1_avantages;AvantagesSalaire acceptable pour un junior
0;avis1_inconvenients;InconvénientsCE n’est pas intéressante, RAS
0;avis2_lib;« Ssii respectable et correcte »
0;avis2_commentaire;Je travaille chez Devoteam à temps plein depuis moins d'un an
0;avis2_avantages;"AvantagesEntreprise à l'écoute de ses collaborateurs.
Commercial compétent.
Manager à disposition en cas de souci même personnel
Formation des collaborateurs à la demande"
0;avis2_inconvenients;"InconvénientsSalaire dans la moyenne du marché.
CE non présente"
0;avis3_lib;« Catastrophe »
0;avis3_commentaire;J'ai travaillé chez Devoteam à temps plein
0;avis3_avantages;AvantagesAucun. Ens classique, cherche uniquement à faire du chiffre.
0;avis3_inconvenients;"InconvénientsSexisme
Aucune évolution
Expertise peu reconnu.
Esn type marchand de viande
Equipe commerciale incompétente"
0;avis4_lib;« Très déçu  par le management »
0;avis4_commentaire;J'ai travaillé chez Devoteam à temps plein moins d'un an
0;avis4_avantages;AvantagesIl y a les avantages classiques.
0;avis4_inconvenients;InconvénientsJ'ai travaillé pendant moins d'un an et je n'ai pas eu l'accompagnement prévu. Je déconseille fortement si vous souhaitez une entreprise avec des valeurs humaines réelles.
0;avis5_lib;« consultant full stack java/angular »
0;avis5_commentaire;Je travaille chez Devoteam à temps plein
0;avis5_avantages;Avantagesplusieurs telques, événement, ambiance, salaire, mission
0;avis5_inconvenients;Inconvénientspour le moment, je sais pas
0;avis6_lib;« Excellente entreprise »
0;avis6_commentaire;Je travaille chez Devoteam à temps plein
0;avis6_avantages;Avantagesentreprise innovante, à l'écoute de ses collaborateurs
0;avis6_inconvenients;Inconvénientsle CE laisse à désirer
0;avis7_lib;« Bien pour apprendre »
0;avis7_commentaire;J'ai travaillé chez Devoteam à temps plein plus d'un an
0;avis7_avantages;"AvantagesForte croissance mais encore à taille humaine 
Entités séparées et semi indépendantes qui entraînent une plus grande proximité
Missions intéressantes même pour un junior
Nouveaux bureaux agréables"
0;avis7_inconvenients;"InconvénientsTrès peu d’avantages employés
Le e learning pourrait être amélioré"
0;avis8_lib;« Excellent environnement de travail »
0;avis8_commentaire;Je travaille chez Devoteam à temps plein depuis plus d'un an
0;avis8_avantages;AvantagesRémunération attractive et autonomie importante
0;avis8_inconvenients;InconvénientsParfois un manque de visibilité de la part du très haut management,
0;avis9_lib;« Belle Boite »
0;avis9_commentaire;Je travaille chez Devoteam à temps plein depuis plus de 3 ans
0;avis9_avantages;"Avantages- Diversité des missions (aussi bien géographique que contenu) 
- Orientée consultant (Par le consultant, Pour le consultant et avec le consultant)
- Orientée Transformation continue"
0;avis9_inconvenients;Inconvénients- Organisation peu adaptée à la croissance (organique et externe)
0;avis10_lib;« One Devoteam »
0;avis10_commentaire;Je travaille chez Devoteam à temps plein depuis plus de 3 ans
0;avis10_avantages;AvantagesSujets innovants, soin et attention portés aux collaborateurs, ambiance de travail
0;avis10_inconvenients;Inconvénientsaucun inconvénient. La direction est à l'écoute de ses employés.
1;nomEntreprise;Devoteam
1;noteMoyEntreprise;4.1
1;avis1_lib;« Abandonné chez un client pendant 2 ans et demi »
1;avis1_commentaire;J'ai travaillé chez Devoteam à temps plein plus d'un an
1;avis1_avantages;NULL
1;avis1_inconvenients;NULL
1;avis2_lib;« Bonne esn »
1;avis2_commentaire;Je travaille chez Devoteam à temps plein
1;avis2_avantages;NULL
1;avis2_inconvenients;NULL
1;avis3_lib;« Consultant [S'team management] »
1;avis3_commentaire;Je travaille chez Devoteam à temps plein depuis moins d'un an
1;avis3_avantages;NULL
1;avis3_inconvenients;NULL
1;avis4_lib;« Attention aux différentes manipulations des équipes dirigeantes »
1;avis4_commentaire;Je travaille chez Devoteam à temps plein depuis plus d'un an
1;avis4_avantages;NULL
1;avis4_inconvenients;NULL
1;avis5_lib;« Reconnaissante »
1;avis5_commentaire;Je travaille chez Devoteam à temps plein depuis plus de 3 ans
1;avis5_avantages;NULL
1;avis5_inconvenients;NULL
1;avis6_lib;« Belle Entreprise ! »
1;avis6_commentaire;Je travaille chez Devoteam à temps plein depuis plus d'un an
1;avis6_avantages;NULL
1;avis6_inconvenients;NULL
1;avis7_lib;« Une culture saine et propice à l'épanouissement »
1;avis7_commentaire;Je travaille chez Devoteam à temps plein depuis plus de 3 ans
1;avis7_avantages;NULL
1;avis7_inconvenients;NULL
1;avis8_lib;« En constante amélioration »
1;avis8_commentaire;Je travaille chez Devoteam à temps plein depuis plus de 5 ans
1;avis8_avantages;NULL
1;avis8_inconvenients;NULL
1;avis9_lib;« Comme un oeuf en gelée »
1;avis9_commentaire;Je travaille chez Devoteam à temps plein depuis plus d'un an
1;avis9_avantages;NULL
1;avis9_inconvenients;NULL
1;avis10_lib;« Bonne ESN dans l'ensemble »
1;avis10_commentaire;Je travaille chez Devoteam à temps plein depuis plus d'un an
1;avis10_avantages;NULL
1;avis10_inconvenients;NULL
2;nomSociete;Freelance-info.fr
2;villeEmploi;Lyon, FR
2;libelleEmploi;Ingénieur Expert(e) Talend (H/F) / Freelance
2;Descriptif;Issu du monde bancaire, CELAD a été créé en 1990 à Toulouse. Nos 1350 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et l’informatique industrielle et ceci chez plus de 250 clients (PME/PMI et grands comptes).Depuis 2006, l’entité CELAD Auvergne-Rhône-Alpes propose de nombreuses missions intéressantes et à forte valeur ajoutée sur l’ensemble de la région : Clermont-Ferrand, Montluçon, Lyon, Grenoble, St-Etienne, Valence, Dijon et Archamps.Nous sommes entièrement impliqué(e)s dans la gestion de nos collaborateurs(trices), ce qui est la base de notre développement ainsi que le reflet de la qualité de notre travail.Dotée d’un véritable processus de recrutement, l’agence CELAD Auvergne-Rhône-Alpes accompagne ses candidat(e)s avec beaucoup d’enthousiasme et de passion au quotidien.Donc si vous souhaitez faire partie de l’aventure Celadienne, rejoignez-nous !D’ailleurs, nous poursuivons notre développement et recrutons actuellement un(e) Ingénieur Expert(e) Talend pour intervenir chez un de nos clients.Contexte : Vous interviendrez sur divers sujets liés à la gestion des EDI du Domaine Décisionnel.Vos Principales Missions QuotidiennesLa convergence sur une plate-forme technique unique de l’ensemble des flux EDI existants.La mise en uvre avec nos partenaires d’EDI disponibles et l’accompagnement de ce processus de bout en bout. Cet accompagnement intègre :la communication et l’explicitation de nos spécifications sur les formats de flux et sur les modalités techniques de communication sécurisée auprès des partenaires concernésla recette des flux produits par nos partenairesl’accompagnement de la mise en production et de l’intégration sous la plate-forme de surveillance et de communication.La participation potentielle à nos projets d’extension de l’offre de service EDI afin de couvrir de nouveaux besoins d’échange de données.Environnement TechniqueExpertise décisionnelleExpertise TalendConnaissance des métiers de l’Assurance serait un plus apprécié mais non indispensableFormation : Bac +5 et expérience de 5 ans minimum sur un poste similaire
3;nomEntreprise;Devoteam
3;villeEntreprise;Levallois-Perret
3;tailleEntreprise;De 1 001 à 5 000 employés
3;description;Avantagesentreprise innovante, à l'écoute de ses collaborateursInconvénientsle CE laisse à désirerDevoteam2019-11-26 07:05 PST
4;nomSociete;Groupe PSIH
4;villeEmploi;Lyon, FR
4;libelleEmploi;INGÉNIEUR COMMERCIAL
4;Descriptif;INGÉNIEUR COMMERCIAL H/FÉditeur décisionnel 100% santé, le Groupe PSIH propose une offre modulaire pour aider les décideurs hospitaliers à mieux comprendre leurs données et prendre de meilleures décisions pour leurs établissements de santé ou leur groupement hospitalier.Le Groupe PSIH C’est20 ans d’innovation et d’aventure humaineUn éditeur de référence dans le monde de l’hôpitalUne croissance continue qui traduit une forte ambition de développementDe réelles perspectives d’évolutions dans une entreprise à taille humaineUn cadre de travail agréableDes collègues épatants et passionnésMISSIONSRattaché(e) au Directeur commercial, vous travaillez en binôme avec un ou plusieurs commerciaux. Votre objectif est de développer le chiffre d’affaires de votre secteur. Vous êtes l’interlocuteur privilégié de décideurs de haut niveau (Direction Générale, DAF, DRH).Vous présentez les offres du groupe lors des rendez-vous clients ou prospects (présentiel ou à distance).Vous définissez les besoins clients et le périmètre de leurs projets décisionnels.Vous rédigez des offres commerciales et des réponses aux appels d’offre. Dans le cadre du suivi client, vous assurez la bonne transition des dossiers aux autres services .ACTIVITÉS PRINCIPALESElaborer une stratégie commerciale en phase avec celle de la Direction sur votre secteur géographique.Identifier les interlocuteurs décisionnaires sur votre portefeuille clientProspecter des établissements de santé ciblés à partir de notre outil CRMPrésenter notre offre, réaliser des propositions commerciales et négocier les contratsDéfinir les besoins, étudier les cahiers des charges et rédiger les spécifications techniques et fonctionnelles en lien avec les autres servicesAssurer une veille concurrentielle des solutions du marchéCommuniquer avec les autres services : Experts Métier, Succès clients (Direction des Services) et Intégration DécisionnelleParticiper aux évolutions techniques et fonctionnelles des logiciels en remontant les demandes et remarques des utilisateursPROFILDe formation supérieure (BAC +4/5 minimum, Ecole d’Ingénieurs ou de Commerce),Véritable ambassadeur du Groupe, votre démarche commerciale se distinguera par votre excellente culture économique et une éthique professionnelle exemplaire.Capacités d’écoute et de compréhension des problématiques organisationnelles ou fonctionnelles des clientsAisance et rigueur dans les échanges avec les décisionnaires (direction générale, direction des systèmes d’information, direction des ressources humaines, département d’information médicale, contrôle de gestion)Être force de proposition lors de l’élaboration des offresMaîtrise de techniques rédactionnelles et d’animation d’un groupeCapacité à travailler en équipe et de manière autonomeCuriosité et capacité à approfondir ses connaissances fonctionnelles et techniquesConnaissance du domaine de la santé et des logiciels utilisés par les centres hospitaliers et les cliniques appréciéeLES QUALITÉS POUR RÉUSSIRBon relationnel et service clientSens des affairesBonnes connaissances techniques Systèmes d’informationEsprit d’analyse, organisation et gestion de projetEsprit d’équipeRigueurRéactivitéÀ VOTRE ARRIVÉE, VOUS POURREZProfiter d’une période de montée en compétence pour vous permettre de comprendre notre métiers et notre entreprise et vous accompagner durant vos premiers pas.Intégrer une équipe dynamique et sympathique qui partage des valeurs communes : entre-aide, goût du travail en équipe, respect.Découvrir un cadre de travail agréable situé à 10 minute de la Gare de la Part Dieu.Échanger avec des équipes passionnées expertes dans leur domaine.La Connaissance du domaine de la santé et des logiciels utilisés par les Centres HospitaliersLe domaine du décisionnel et l’analyse d’activité hospitalièrePoste en CDI basé à Lyon 3.
5;nomSociete;CELAD
5;villeEmploi;Lyon, FR
5;libelleEmploi;Ingénieur Expert(e) Talend F/H
5;Descriptif;Nous poursuivons notre développement et recrutons actuellement un(e) Ingénieur Expert(e) Talend pour intervenir chez un de nos clients. Contexte : Vous interviendrez sur divers sujets liés à la gestion des EDI du Domaine Décisionnel. Vos principales missions quotidiennes :La convergence sur une plate-forme technique unique de l’ensemble des flux EDI existants.La mise en œuvre avec nos parten-- Environnement technique :Expertise décisionnelleExpertise TalendConnaissance des métiers de l’Assurance serait un plus apprécié mais non indispensable Formation : Bac +5 et expérience de 5 ans minimum sur un poste similaire -- Issu du monde bancaire, CELAD a été créé en 1990 à Toulouse. Nos 1350 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et l’informatique industrielle et ceci chez plus de 250 clients (PME/PMI et grands comptes). Depuis 2006, l’entité CELAD Auvergne-Rhône-Alpes propose de nombreuses missions intéressantes et à forte valeur ajoutée sur l’ensemble d
6;nomSociete;CELAD
6;villeEmploi;Lyon, FR
6;libelleEmploi;Ingénieur Expert(e) Talend (H/F)
6;Descriptif;Description du poste Issu du monde bancaire, CELAD a été créé en 1990 à Toulouse. Nos 1350 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et l’informatique industrielle et ceci chez plus de 250 clients (PME/PMI et grands comptes). Depuis 2006, l’entité CELAD Auvergne-Rhône-Alpes propose de nombreuses missions intéressantes et à forte valeur ajoutée sur l’ensemble de la région : Clermont-Ferrand, Montluçon, Lyon, Grenoble, St-Etienne, Valence, Dijon et Archamps. Nous sommes entièrement impliqué(e)s dans la gestion de nos collaborateurs(trices), ce qui est la base de notre développement ainsi que le reflet de la qualité de notre travail. Dotée d’un véritable processus de recrutement, l’agence CELAD Auvergne-Rhône-Alpes accompagne ses candidat(e)s avec beaucoup d’enthousiasme et de passion au quotidien. Donc si vous souhaitez faire partie de l’aventure Celadienne, rejoignez-nous ! D’ailleurs, nous poursuivons notre développement et recrutons actuellement un(e) Ingénieur Expert(e) Talend pour intervenir chez un de nos clients. Contexte : Vous interviendrez sur divers sujets liés à la gestion des EDI du Domaine Décisionnel. Vos principales missions quotidiennes : – La convergence sur une plate-forme technique unique de l’ensemble des flux EDI existants. – La mise en œuvre avec nos partenaires d’EDI disponibles et l’accompagnement de ce processus de bout en bout. Cet accompagnement intègre :la communication et l’explicitation de nos spécifications sur les formats de flux et sur les modalités techniques de communication sécurisée auprès des partenaires concernésla recette des flux produits par nos partenairesl’accompagnement de la mise en production et de l’intégration sous la plate-forme de surveillance et de communication. – La participation potentielle à nos projets d’extension de l’offre de service EDI afin de couvrir de nouveaux besoins d’échange de données. Environnement technique : – Expertise décisionnelle – Expertise Talend – Connaissance des métiers de l’Assurance serait un plus apprécié mais non indispensable Formation : Bac +5 et expérience de 5 ans minimum sur un poste similaire
7;nomEntreprise;Atos
7;noteMoyEntreprise;3.3
7;avis1_lib;« OK »
7;avis1_commentaire;Je travaille chez Atos à temps plein
7;avis1_avantages;"AvantagesEquilibre pro / perso
Ambiance au sein des équipes"
7;avis1_inconvenients;"InconvénientsLa rémunération
Diversité des missions
Evolution salariale"
7;avis2_lib;« Salaire Atos »
7;avis2_commentaire;Je travaille chez Atos à temps plein depuis plus d'un an
7;avis2_avantages;Avantageslieux, les gens, equipement, ecadrement, mangement
7;avis2_inconvenients;Inconvénientsmanque des marchés,  manque des primes
7;avis3_lib;« Bon entreprise »
7;avis3_commentaire;Je travaille chez Atos à temps plein
7;avis3_avantages;AvantagesDe très beaux projets informatique
7;avis3_inconvenients;InconvénientsPas de treiziemes mois / prime intéressement
7;avis4_lib;« entretien »
7;avis4_commentaire;J'ai travaillé chez Atos à temps partiel
7;avis4_avantages;"Avantagestechnique 
salaire 
temps 
vie gout"
7;avis4_inconvenients;Inconvénientsrythme très haut
7;avis5_lib;« Ok »
7;avis5_commentaire;J'ai travaillé chez Atos à temps plein
7;avis5_avantages;AvantagesBonne ambiance de travail
7;avis5_inconvenients;InconvénientsPeu de marge de négociations
7;avis6_lib;« Un appart grâce à ce job »
7;avis6_commentaire;J'ai travaillé chez Atos à temps plein plus de 10 ans
7;avis6_avantages;AvantagesY avais pas Skype il payait les voyages en Europe en 2003. Allemagne suisse Canada angleterre Espagne
